Points
0
0
5.35
10.7
10.7
16.05
16.05
21.4
26.75
26.75
26.75
26.75
26.75
26.75
26.75
26.75
26.75
32.1
32.1
32.1
32.1
32.1
32.1
32.1
32.1
32.1
37.45
37.45
37.45
37.45
42.8
42.8
42.8
48.15
53.5
53.5
53.5
58.85
64.2
64.2
64.2
64.2
69.55
74.9
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
80.25
85.6
85.6
85.6
85.6
85.6
85.6
85.6
85.6
85.6
85.6
85.6
85.6
85.6
90.95
90.95
90.95
90.95
90.95
90.95
90.95
90.95
90.95
90.95
90.95
90.95
90.95
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
96.3
101.65
101.65
101.65
107
107
107
107
107
107
112.35
112.35
112.35
117.7
123.05
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
128.4
133.75
133.75
133.75
139.1
139.1
139.1
144.45
144.45
144.45
144.45
144.45
149.8
149.8
155.15
155.15
155.15
155.15
155.15
155.15
160.5
160.5
165.85
171.2
171.2
171.2
171.2
171.2
171.2
171.2
171.2
176.55
176.55
176.55
176.55
181.9
181.9
181.9
187.25
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
192.6
197.95
197.95
197.95
203.3
203.3
208.65
208.65
208.65
208.65
208.65
214
219.35
219.35
224.7
224.7
224.7
230.05
230.05
230.05
230.05
230.05
235.4
235.4
235.4
235.4
235.4
235.4
240.75
246.1
246.1
251.45
256.8
256.8
256.8
256.8
256.8
256.8
256.8
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
262.15
267.5
267.5
267.5
267.5
272.85
272.85
272.85
272.85
272.85
272.85
272.85
272.85
278.2
278.2
278.2
283.55
288.9
288.9
288.9
288.9
288.9
288.9
288.9
288.9
288.9
288.9
288.9
288.9
294.25
294.25
294.25
294.25
294.25
299.6
299.6
299.6
304.95
304.95
310.3
315.65
315.65
315.65
321
321
321
321
321
321
321
321
321
326.35
326.35
326.35
326.35
326.35
326.35
326.35
326.35
331.7
331.7
331.7
331.7
331.7
331.7
331.7
337.05
337.05
337.05
337.05
337.05
337.05
337.05
337.05
342.4
342.4
347.75
347.75
347.75
347.75
347.75
347.75
347.75
347.75
353.1
353.1
358.45
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
363.8
369.15
369.15
369.15
374.5
379.85
379.85
385.2
390.55
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
395.9
401.25
406.6
406.6
406.6
406.6
406.6
406.6
406.6
406.6
411.95
417.3
417.3
417.3
417.3
417.3
417.3
417.3
417.3
417.3
417.3
417.3
417.3
422.65
422.65
422.65
422.65
422.65
422.65
422.65
422.65
422.65
422.65
428
428
428
433.35
433.35
433.35
433.35
438.7
438.7
444.05
444.05
444.05
444.05
444.05
449.4
449.4
449.4
449.4
449.4
449.4
449.4
454.75
454.75
454.75
454.75
454.75
454.75
460.1
460.1
460.1
460.1
460.1
460.1
465.45
465.45
470.8
476.15
476.15
476.15
476.15
476.15
476.15
476.15
481.5
481.5
481.5
481.5
481.5
481.5
481.5
481.5
486.85
486.85
486.85
486.85
492.2
492.2
492.2
497.55
497.55
497.55
497.55
497.55
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
502.9
508.25
508.25
508.25
513.6
513.6
513.6
513.6
513.6
513.6
513.6
513.6
513.6
513.6
518.95
518.95
524.3
524.3
529.65
529.65
529.65
535
535
535
535
535
535
540.35
540.35
540.35
540.35
540.35
540.35
540.35
545.7
545.7
545.7
551.05
551.05
551.05
551.05
551.05
551.05
551.05
551.05
551.05
551.05
556.4
556.4
